manufacturer,title,source_url,sha256,record_type
dellner-bubenzer,Products | DELLNER BUBENZER | Leading the World in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/products,9e4ae8d22ba5b4df8c68ed552a56f0dbdcf0594c450727174e9c0da0c7fbcdb9,discovered page; product classification pending
dellner-bubenzer,Caliper / Disc Brakes | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/caliper-disc-brakes,eaa132ae801e9e45d8057cd716b6eb08b0b416a6124b57a689128327c6f3c583,discovered page; product classification pending
dellner-bubenzer,Couplings | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/couplings,73069e2c53c6e178d176646a34df8e4e607e91a4d081b192c50191f7636a70e6,discovered page; product classification pending
dellner-bubenzer,Drum & Band Brakes | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/drum-band-brakes,9ecdfe8af52773de5b1eaf8f8305144ed2624b02ba3fe52c354fc69fa2c73ef0,discovered page; product classification pending
dellner-bubenzer,Hydraulic Systems | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/hydraulic-systems,e32b4726991e6b7b3a25f7d7ad12f86b795ee56bd206950369d032cba6b8e422,discovered page; product classification pending
dellner-bubenzer,Locking Devices | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/locking-devices,347f958354966c8a09397810c55b3bd3183efc60b008f4cd081f7a1def941ab4,discovered page; product classification pending
dellner-bubenzer,Monitoring & Control Systems | DELLNER BUBENZER | Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/monitoring-control-systems,38ae1908be4863685261f10551e40cab0f9b64fab59be2c89cb67ec215663ce1,discovered page; product classification pending
dellner-bubenzer,Motor Mounted Brakes | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/motor-mounted-brakes,20db2118f70a6e93a324cac11845006695dbe11f6171b322692d023c2949eb0f,discovered page; product classification pending
dellner-bubenzer,Pneumatic Drum Clutches & Brakes | DELLNER BUBENZER | Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/pneumatic-drum-clutches-brakes,dc651a7aa823095d8d368e280f6840244d6ab0812684a7af66e2fca49abadb3c,discovered page; product classification pending
dellner-bubenzer,Stop Turn Lock Systems | DELLNER BUBENZER | World Leader in Braking System Design & Manufacturing,https://www.dellnerbubenzer.com/product-types/stop-turn-lock-systems,f8035f9a41dc1bc5a4da632832d7e8526d58c74a3f8fb579509a2c23080c12e6,discovered page; product classification pending
