manufacturer,asset_sha256,source_url,pdf_page,raw_text,context,verification
dellner-bubenzer,b7c0f61ea5e650549d7ad4a660616bedf6c72451f63bd441ffbe84d5ada14047,https://www.dellnerbubenzer.com/downloads/marketing/dellner-bubenzer-overview-brochure.pdf,8,ideal solution for the controlled                                                                                                     with high temperature resistance (-20°C to,"                                                                                                                                                                                                                      for quick sensor diagnostics.
                                                                                The BCC3000syste m                                                                                                                                                                                                                                                                                                                                                                  is the                                          Durable Design Stainless steel housing (IP65)
                                                                                ideal solution for the controlled                                                                                                     with high temperature resistance (-20°C to
                                                                                braking of machines and                                                                                                               +70°C).
",unreviewed extraction; not a design input
dellner-bubenzer,b7c0f61ea5e650549d7ad4a660616bedf6c72451f63bd441ffbe84d5ada14047,https://www.dellnerbubenzer.com/downloads/marketing/dellner-bubenzer-overview-brochure.pdf,10,Nominal Torque                                                                                                                                                                                                                                                          130 - 2 650 Nm                                                                                                                                                                                                                                                  600 - 13 350 Nm                                                                                                                                                                                                         7 800 - 27 000 Nm                                                                                                                                                                                      1 450 - 67 200 Nm                                                                                                                                                                                            1 450 - 67 200 Nm                                                                                                                                              6 500 - 1  390 000 Nm,"

                                                         Nominal Torque                                                                                                                                                                                                                                                          130 - 2 650 Nm                                                                                                                                                                                                                                                  600 - 13 350 Nm                                                                                                                                                                                                         7 800 - 27 000 Nm                                                                                                                                                                                      1 450 - 67 200 Nm                                                                                                                                                                                            1 450 - 67 200 Nm                                                                                                                                              6 500 - 1  390 000 Nm

",unreviewed extraction; not a design input
dellner-bubenzer,b7c0f61ea5e650549d7ad4a660616bedf6c72451f63bd441ffbe84d5ada14047,https://www.dellnerbubenzer.com/downloads/marketing/dellner-bubenzer-overview-brochure.pdf,10,Max Speed*                                                                                                                                                                                                                                                                            7 250 - 3 000 rpm                                                                                                                                                                                                        5 250 - 1 900 rpm                                                                                                                                                                                                        3 300 - 2 200 rpm                                                                                                                                                                                                 2 600 - 9 500 rpm                                                                                                                                                                                                   1 950 - 4 800 rpm                                                                                                                                                                                                           Max Radial Load17  650 - 670 000 N,"

                                                                                  Max Speed*                                                                                                                                                                                                                                                                            7 250 - 3 000 rpm                                                                                                                                                                                                        5 250 - 1 900 rpm                                                                                                                                                                                                        3 300 - 2 200 rpm                                                                                                                                                                                                 2 600 - 9 500 rpm                                                                                                                                                                                                   1 950 - 4 800 rpm                                                                                                                                                                                                           Max Radial Load17  650 - 670 000 N

",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,8,"*At 400 V, 50 Hz. **At temperature -30°C to +50°C (lower, respectively higher temperatures are possible on request).","
                                                                                                           600-8                                                                                                                                                                                                                                             8000                                                                                                                                                                                                                                                     1,25                                                                                                                                                                                                                                                               2,1                                                                                                                                                                                                                                                                   900                                                                                                                                                                                                                                                                      33
*At 400 V, 50 Hz. **At temperature -30°C to +50°C (lower, respectively higher temperatures are possible on request).

8",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,12,TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*,"      BUEL® H
      TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*

",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,13,TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    BUEL® H
                                                                                                                     TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*

",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,14,TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*,"    BUEL® H
    TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*

",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,15,TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 BUEL® H
                                                                                                                                                       TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*

",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,16,TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*,"    BUEL® H
    TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*

",unreviewed extraction; not a design input
dellner-bubenzer,f939490f373716acdad88b548b5b11c615a107c00bb204e56bfccdb2f8cc458a,https://www.dellnerbubenzer.com/downloads/Dellner-Bubenzer-BUEL-Brochure-All.pdf,17,TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    BUEL® H
                                                                                                                                                              TIMES ARE VALID AT 20°C THRUSTER TEMPERATURE WEIGHT OPERATED WITH RATED LOAD*

",unreviewed extraction; not a design input
